sentence1,sentence2,similarity,predicted_similarity
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,0.8800000000000001,0.75
A woman drives a golf cart.,A man riding a cart.,0.36,0.6666666666666667
A person is playing the keyboard,There is no man playing a keyboard,0.6799999999999999,0.8333333333333334
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,A baby is sneezing and frightening another baby,0.2,0.14814814814814814
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.08,0.2857142857142857
The head of a child with dark glasses is in focus.,There is a woman with a full head of hair.,0.04,0.2962962962962963
There is no butter being added to the stand mixer,Pieces of butter are being added to the stand mixer,0.8,0.888888888888889
A tan dog is splashing in the water on the bank of a pond,A light brown dog is running in the grass,0.4599999999999999,0.4696969696969697
Two people are kissing near a crowd,A woman is being kissed by a man,0.8,0.33333333333333326
Two dogs are in a kennel on their hind legs and are facing one another,A black dog and a yellow dog are not playing with each other,0.6799999999999999,0.41025641025641024
A woman is cutting onions.,A woman is cutting tofu.,0.36,0.6666666666666666
Broccoli are being cut by a woman,A woman is cutting broccoli,0.96,1.0
A girl is wearing a t-shirt and has her mouth open.,"A girl from Asia, in front of a brick window, looks surprised",0.6,0.30769230769230765
Three guys playing a pro game of basketball.,two guys playing a game of baseball.,0.48,0.6666666666666667
A boy is checking a calendar,There is no boy checking a calendar,0.64,1.0
The bearded man is not sitting on a train,The bearded man is sitting on a train,0.6599999999999999,1.0
A crowd of people is near the water,A crowd of people is far from the water,0.76,0.875
A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,0.76,0.8571428571428571
"If you are not sure how to do it, don't do it at all.","You don't, it will not work.",0.2,0.33333333333333326
A woman is not frying some food,A woman is frying some food,0.72,1.0
A boy is playing on a toy phone,A boy is playing on a toy,0.92,0.8571428571428571
The woman is not pouring oil into the pan,The boy is playing the piano,0.2,0.1904761904761905
A woman wearing a blue shirt and high heels is standing on the sidewalk next to a dog,A man and a woman are standing on the curb,0.5,0.33333333333333337
A woman is boiling eggs,Eggs are being boiled by a woman,0.98,1.0
Two dogs are playing on a beach,Two dogs are playing in a forest,0.74,0.75
A small boy is playing with a dog,There is no baby playing with a dog,0.64,0.619047619047619
A tennis player with a green headband is hitting the ball,The tennis player with a green headband is hitting the ball,1.0,1.0
A man is playing a musical keyboard.,A man is playing a keyboard piano.,1.0,0.875
"You just have to base your answer on what you do know, which is what you want.",Th answer to you problem is that you dont actually know what you're getting in .,0.4,0.5333333333333334
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,0.52,0.7407407407407408
"The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.","The House has passed bills the past two Congresses, but the Senate has not.",0.68,0.5555555555555554
A wet child enjoys the summer.,A woman is enjoying the summer weather.,0.36,0.5833333333333334
A boy is jumping on the side of a stone water fountain in front of a building,A boy is jumping off the side of a stone water fountain in front of a building,0.8400000000000001,1.0
No it does not affect your ratings.,No it is not.,0.0,0.0
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,0.6000000000000001,0.36666666666666664
Three people are driving four wheel ATVs in a field,Three people are driving ATVs,0.8400000000000001,0.6060606060606061
A man is performing labor.,A man is performing today.,0.5599999999999999,0.7777777777777778
"It depends on what you want to do next, and where you want to do it.",It's up to you what you want to do next.,0.8,0.7222222222222222
"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.","Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.",0.75,0.4222222222222222
A big brown dog and a small grey dog are standing on a rocky surface,The brown dog is sniffing the back of a small black dog,0.6599999999999999,0.5208333333333334
As soon as possible.,Start them as early as possible.,0.8,0.5333333333333333
The dog is running through a field.,A dog runs through a field.,0.96,1.0
"Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.","Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation.",0.65,0.7719298245614035
A group of people are standing around a sound mixing table,A group of people are not looking at sound equipment,0.74,0.638888888888889
"I think we made the right case and did the right thing.""","Mr Blair went on: ""I think we did the right thing in relation to Iraq.",0.5538000000000001,0.45833333333333337
"Not a direct answer to the question, but something to consider.","Not a real answer to your question, but maybe it helps.",0.8,0.5333333333333334
A man is uninterestedly holding a sign and is seeking money,A man is holding a sign and is seeking money,0.8800000000000001,0.909090909090909
A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,0.98,1.0
A topless person with a back pack is in front of a pile of rocks and clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,0.54,0.7037037037037036
It varies by the situation.,This varies by institution.,0.8,0.5
A man is quickly chopping some mushrooms with a knife,A person is quickly chopping mushrooms with a knife,0.8800000000000001,0.9
A dog is pushing a toddler into a rain puddle,A boy is being knocked into the water by the dog,0.8,0.40740740740740733
Nobody is stirring a pot of chili with a spoon,Someone is stirring a pot of chili with a spoon,0.74,0.8666666666666666
people walk home,People waiting.,0.32,0.5333333333333333
Some men are sawing.,Men are sawing logs.,0.68,0.8
A woman is cutting a tomato,A man is cutting a tomato,0.72,0.7777777777777778
Men are playing soccer.,Two teams play soccer.,0.6000000000000001,0.5714285714285714
A cat is eating some corn.,A cat is eating corn on the cob.,0.8500000000000001,0.8571428571428571
A man is drinking orange juice and walking,A man is spilling orange juice and standing still,0.64,0.6060606060606061
A chimp is angrily kicking a target,An angry man is targeting a kicking chimp,0.6799999999999999,0.7407407407407408
The lady is cracking an egg for the mixer,The lady is eating slices of meat,0.3399999999999999,0.25
There is no woman cutting broccoli,A woman is cutting broccoli,0.6799999999999999,1.0
A black dog is playing with a brown dog on the sand,A black dog is attacking a brown dog on the sand,0.76,0.75
Firefighters battle forest fire in SW China,Firefighters battling scrub fire in Hokianga,0.68,0.6060606060606061
A woman is placing two eggs into a pot of water,A woman is putting two eggs into a pot of water,0.98,1.0
A flock of birds hovered over the sandy beach.,Birds are flying at a beach.,0.76,0.6666666666666666
38 Taliban militants killed in Afghanistan,Taliban attacks US base in Afghanistan,0.24,0.5925925925925927
The woman is not walking the dog,The woman is walking the dog,0.76,1.0
"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.",0.7200000000000001,0.5384615384615384
Two brown and white dogs are fighting on a grassy area in front of a tree,Two animals are playing outside,0.72,0.30769230769230765
A person is riding a motorcycle,A person is chopping a red onion,0.24,0.380952380952381
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,0.12,0.33333333333333326
A boat is sailing peacefully over the water,The guitar is being played by the man,0.22,0.09523809523809522
A child is slowly waking up,A girl is waking up,0.8539999999999999,0.5333333333333333
"That is your problem, not your supervisor's.",Work with your supervisor and your team to solve the problem.,0.4,0.5
It makes absolutely NO difference.,"No, it makes no difference.",1.0,0.9333333333333333
A man is not rock climbing and a city and a bay are in the background,"A man is rock climbing, pausing and calculating the route",0.5599999999999999,0.5555555555555556
A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,0.8,0.8
Chinese general's son gets 10 years jail for rape,Chinese general’s son gets 10 years’ jail for gang-rape,0.8400000000000001,0.7619047619047618
Several kids are jumping on a trampoline,A man is doing back flips on a trampoline,0.5599999999999999,0.41666666666666663
You need to add this to your resume because it is the only position you have had.,This gives you the opportunity to make your case that you really do have expertise in XXX.,0.4,0.2121212121212121
A few more point to think about:,A few things to think about:,1.0,0.6666666666666666
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,0.16,0.5
A black dog is running in the grass and its tongue is hanging out,"A dog, which is black, is running in the grass",0.86,0.8666666666666666
A child is walking down the street and a jeep is not pulling up,A man in a car is pulling up beside a woman that is who along a road,0.44,0.3611111111111112
A horse is racing,A horse is running,0.8800000000000001,1.0
A girl is applying makeup on her face.,A woman is putting on makeup.,0.55,0.7142857142857144
The students are filling the classroom,A classroom is full of students,0.86,0.7777777777777778
Three men sit on a bench.,two men sit on a bench.,0.6400000000000001,0.8333333333333334
A woman is not slicing carrots,A woman is slicing carrots,0.8800000000000001,1.0
A cheetah is chasing its prey across a field,A white and brown dog is walking through the water with difficulty,0.22,0.303030303030303
Ten people riding ATVs.,4 people are riding bikes,0.32,0.5833333333333334
Russia praises idea to render rights assistance to Ukraine,Russia detains suspected Islamist militants in Moscow raid,0.08,0.23809523809523808
"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","According to the report, average life expectancy has increased by nearly two years since 1990.",0.7000000000000001,0.3939393939393939
A man on a motorcycle is turning around a corner,A man on a motorcycle is going around a corner,0.98,1.0
A person is tearing sheets,A man is cutting a paper,0.6,0.4444444444444445
The cats are not playing with each other,Two cats are fighting each other,0.72,0.5333333333333333
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,0.04,0.26666666666666666
A dog is playing alone on a beach covered by snow,A dog is sleeping on a beach covered by snow,0.58,0.8484848484848484
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.15,0.18518518518518517
The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,0.96,0.7142857142857144
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to say/imply.,0.2,0.5185185185185186
A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,0.9,0.8666666666666668
The woman is measuring the other woman.,The lady measured the other woman's ankle.,0.6400000000000001,0.5
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,0.96,0.909090909090909
"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.",0.8,0.6410256410256411
Syria hands over bodies of journalists,Syria TV says govt troops free captive journalists,0.2799999999999999,0.41666666666666663
A woman is cutting a potato,There is no woman slicing an onion,0.54,0.6666666666666666
A man is cutting a potato.,A man is slicing some potato.,0.8800000000000001,1.0
The Cradle of Liberty Council isn't the first one to buck the national group's stance.,Philadelphia's council is not the first to defy the national policy.,0.68,0.4313725490196079
The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",0.68,0.7101449275362318
A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person,0.6599999999999999,0.4814814814814815
You don't need to know everything.,They just don't want you to know it.,0.2,0.8
The man is seasoning the sausages,The man is not adding seasoning to the/some water in a bowl,0.62,0.4444444444444445
"Brown and black dogs on snow, showing teeth and barking at each other.",A black dog fighting with a brown dog in the snow.,0.68,0.6666666666666666
A woman is dancing and singing in the rain,A woman is dancing and singing alone,0.8,0.75
You are not disclosing key info.,No you are not.,0.4,0.0
Boy and white dog running in grassy field,A boy and a dog running on grass,0.8800000000000001,0.7
The answer to both questions is: Yes.,To directly answer the two questions in your title.,0.0,0.5
Ukraine to implement unilateral ceasefire,Ukraine offers unilateral ceasefire,0.96,0.5
A girl is cutting butter into two pieces,A magician is cutting a girl into two pieces like butter,0.44,0.8333333333333334
A child is playing with a water spout outdoors and the rest of his family is watching,A boy is laying down a hose next to a man and another boy is running away,0.54,0.4509803921568628
A person is riding a motorcycle,A person is standing near a motorcycle,0.6599999999999999,0.7142857142857144
Two crocodiles are floating in a green colored swimming pool near some playing kids,Two poodles are in the snow and one is jumping high,0.22,0.35416666666666663
A man is sitting near a bike and is writing a note,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0.74,0.4313725490196079
"A woman is wearing a shirt, which is blue, with a white vest and a white cap and is talking and marching",A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,0.94,0.9
Zombies parading around eating brains.,The zombies are eating flesh together.,0.68,0.5185185185185186
5 US airstrikes target Islamic State fighters,Kurds see Turkey impeding Islamic State fight,0.2,0.380952380952381
More than 100 injured in Texas plant blast,Hundreds believed injured in Texas fertiliser plant blast,0.8,0.861111111111111
A man is pointing at a silver sedan,A man is pointing at a car,0.8800000000000001,0.7142857142857144
Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,The health department spokesperson added the department is following Centers for Disease Control protocol.,0.6000000000000001,0.7391304347826086
Two large persons are sitting on a park bench and they have a bottle of soda between them,Two large persons are standing near a park bench and they have nothing between them,0.82,0.7083333333333333
Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.,0.7000000000000001,0.4117647058823529
A climbing boy rescues the fearful cat from over the wall,A fearful little boy is on a climbing wall,0.5599999999999999,0.7575757575757578
Two dogs are playing inside,Two brown and white dogs are fighting on a grassy area in front of a tree,0.5599999999999999,0.4102564102564103
a man working at the steel mill,A man working in a foundry.,0.68,0.7142857142857144
Someone is banging a camera lens against a nail,A camera is being hammered onto the nail by the man,0.7070000000000001,0.5333333333333333
A woman is putting a baby in a waste bin,The woman is not poking holes in the potato,0.237,0.2962962962962963
Asian stocks rise after Greek vote eases fears,Oil rises after Greek election result,0.2799999999999999,0.4722222222222222
"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal",0.96,0.5416666666666666
A brown dog is running through a snowy trail,A dog is running on a snowy road,0.86,0.9259259259259259
A black dog on a leash is walking in the water,A white dog on a leash is walking in the water,0.72,0.8666666666666666
A dog is teasing a monkey at the zoo,A monkey is pulling a dog's tail,0.6799999999999999,0.4444444444444445
A boy in red jumping into a sandbox.,A dog swimming in a pond,0.0,0.09523809523809522
The black and white dog is running and a person stands behind it,A little dog is sprinting and its owner is trying to catch it,0.6599999999999999,0.4871794871794872
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,0.68,0.5666666666666667
A man is standing in the middle of a gym and is wearing a jersey,A man in a jersey which is black is standing in a gym,0.8400000000000001,0.8484848484848484
Three women are dancing,A few women are dancing,0.92,0.8666666666666666
A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.,0.8800000000000001,0.5454545454545455
A girl is styling her hair,A girl is brushing her hair,0.86,0.7777777777777778
A group of children in a church basement is playing maracas and tambourines,Tambourines are being played by a group of children,0.92,0.7272727272727273
A brown dog is standing in a lake,A dog is swimming in a body of water,0.6,0.4583333333333333
There are no dogs fighting for a frisbee in a lake,Two dogs are fighting for a frisbee in a lake,0.8800000000000001,0.888888888888889
The man is stirring oil,The man is stirring the sauce for the chicken,0.72,0.6666666666666667
A person is not stirring vegetables in a pot,A person is stirring vegetables in a pot,0.76,1.0
"A player in purple, white and black is playing near the end of the field",A man is wearing a sports uniform and is running down the field,0.72,0.5714285714285714
Two people are driving a boat and a lady is sitting on the top of it,A blond woman is sitting on the roof of a yellow vehicle and two people are inside,0.5599999999999999,0.5208333333333334
A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,0.8,0.909090909090909
A brown and black dog is pointing the nose upwards,A black and brown cat is eyeing a fly,0.3,0.4242424242424242
Car bombs kill at least 16 in Iraqi capital,Car bombs kill at least 47 in Baghdad area,0.52,0.7142857142857142
The compensation committee will prohibit securities industry directors from sitting on it.,The exchange also said its five-person compensation committee will consist only of directors from outside the securities industry.,0.7066,0.5833333333333333
A man is playing a keyboard in a park,A man is playing a keyboard,0.82,0.8571428571428571
A young child is barefoot and is walking past a puddle full of mud,A young child is wearing green boots and playing in a puddle full of mud,0.7,0.7254901960784313
'Arrest warrant' for Maldives ex-president,Maldives court issues arrest warrant for former president,0.9,0.4444444444444445
A horse is being ridden in a creek by a man,A man is riding a horse,0.94,0.8571428571428571
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,0.0,0.3703703703703704
The young girl is blowing a bubble that is very small,The girl in the red shirt is blowing a bubble ,0.76,0.7333333333333334
There is no dog riding a skateboard,A dog is riding a skateboard,0.76,1.0
I'm thinking it's a bad idea. ,I think it's a bad idea.,1.0,1.0
A panda is climbing,A man is climbing a rope,0.32,0.4
A brown and white dog is running across a brown field.,A person hanging from a rocky cliff.,0.0,0.2727272727272727
The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,A little girl is frowning and taking off a fake nose and glasses,0.72,0.5185185185185186
The small boy is standing in the forest,A small boy is standing in the forest,1.0,1.0
A dog swims through the water.,A dog wearing a cape is running through the snow.,0.2799999999999999,0.41666666666666663
Syrian forces kill teen in Aleppo protests,Syrian forces kill 3 protesters in Damascus-activists,0.24,0.47619047619047616
An instrument is being played by a woman in a red dress,A man is climbing up a rope,0.22,0.25
A talented man is playing the guitar,A woman is playing a guitar,0.64,0.6666666666666667
There is no man spitting,A man is speaking,0.423,0.5
A dog standing in the water.,A girl playing on a parachute.,0.08,0.0
A boy is practicing the keyboard,A boy is sitting in a room and playing a piano by lamp light,0.7,0.33333333333333326
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,0.0,0.5277777777777778
A group of people is holding drinks and pointing at the camera,Drinks are being held by people pointing at the camera,0.96,0.9545454545454547
A man is sitting on the floor and is playing a guitar,The man is pacing around a room,0.3399999999999999,0.4814814814814815
"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen.",0.32,0.4367816091954023
A man is riding an animal,A man is driving a car,0.26,0.7777777777777778
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,0.76,0.6
A monkey is brushing the dog,A bull dog is brushing the monkey,0.6799999999999999,0.8571428571428571
Advanced Micro Devices said Fujitsu Siemens Computers is offering a high-end workstation based on AMD's Opteron 200 Series.,Fujitsu Siemens Computers on Tuesday made good on a promise to offer a workstation based on Advanced Micro Devices' Opteron processor.,0.65,0.4901960784313725
The man is not slicing potatoes,The man is slicing potatoes,0.76,1.0
A cat is playing on the floor.,A man is slicing garlic.,0.0,0.27777777777777773
A shoeless woman is sitting on a blanket under a lavender umbrella,"A woman, who is shoeless, is sitting on a blanket under a lavender umbrella",0.96,1.0
A child wearing blue and white shorts is jumping in the surf.,A girl wearing green twists something in her hands.,0.12,0.435897435897436
"""Both of these kids are in wonderful physical condition right now,"" he said during a press briefing at the hospital.","""Both of these kids are in wonderful physical condition right now,"" said Goodrich, also director of pediatric neurosurgery at the Children's Hospital at Montefiore.",0.68,0.5
A man is kicking a soccer ball,A man is running away from the soccer ball,0.6,0.7407407407407408
A man is slicing some bread,A person is slicing a piece of bread,0.92,0.8571428571428571
"Sandy slams into Northeast; at least 18 dead, 7.4M without power","Eastern U.S. storms leave 2 dead in Va., 2 million without power",0.52,0.33333333333333337
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,0.4,0.625
You answered your own question.,You pretty much answered your own question.,1.0,0.6666666666666666
Also it is useful to keep the consistency in your story.,It is important to keep the story in the scope of your limit.,0.4,0.5333333333333334
Hernandez double gives Mexico victory,Hernandez double gives Mexico victory over Japan,0.68,0.7272727272727273
The people are standing at a parade,A white bird is landing swiftly in the water,0.22,0.125
The child's bike got wet.,She is putting away the bike.,0.24,0.41666666666666663
Two dogs are playing by a tree,Two dogs are sleeping by a tree,0.713,0.8333333333333334
The kid is sliding in the snow,A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow,0.72,0.358974358974359
One woman is sitting and looks at the waterfall,A woman is sitting and looking at the waterfall,0.92,0.9259259259259259
A man pours rice into a pot.,A man is putting rice in a bowling pot.,0.8400000000000001,0.7407407407407408
An email is being read by a man,A person is peeling a banana,0.2,0.16666666666666666
A man with a shirt is holding a football,A man with no shirt is holding a football,0.6599999999999999,1.0
A squirrel is running around in circles,A squirrel is spinning around in circles,0.8800000000000001,0.8333333333333334
"A black, red, white and pink dress is being worn by a woman","A dress, which is black, red, white and pink is being worn by a woman",0.98,1.0
A man is playing the drums.,A woman is slicing some leaves.,0.0,0.22222222222222224
"Mursi takes oath of office, becomes Egyptian president",Morsi to take oath as first Egypt civilian president,0.76,0.5952380952380952
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,0.94,0.9333333333333333
You PROBABLY don't have any chance at the moment.,"Saying ""thanks, I don't have any questions at the moment.""",0.0,0.40740740740740733
There is no man playing a keyboard,A man is playing a keyboard,0.7,1.0
A young person  deep in thought.,A young man deep in thought.,0.92,0.875
A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,0.82,0.5238095238095238
A dog is being teased by a monkey at the zoo,A monkey is pulling a dog's tail,0.86,0.4444444444444445
A woman is dancing.,A woman plays the clarinet.,0.16,0.5333333333333333
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,0.76,0.6666666666666666
A child is making a snow ball,A snow ball is being made by a child,1.0,1.0
A woman is digging in the sand.,A man is buried in the sand.,0.2799999999999999,0.5555555555555554
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,0.52,0.5897435897435898
A person wipes butter on a tray.,A person is buttering a tray.,0.8500000000000001,0.8571428571428571
Some guy sitting on a couch watching television.,A guy is sitting on the couch watching TV,1.0,1.0
A skateboarder is doing acrobatics on a half pipe,A man is skateboarding on a half pipe,0.78,0.5833333333333334
A person is cutting some ginger,A person is slicing an onion,0.6,0.6666666666666666
"In the US, it will depend on the school.",This will depend on the university.,0.8,0.5333333333333333
The chef is carefully drying the oil from the pan,The chef is carefully pouring some oil into a pan,0.7,0.8666666666666666
Two men are fistfighting in a ring.,Two men fistfight in a ring.,1.0,1.0
"The New York senator's new book, ""Living History,"" appears a certain bestseller.","Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History.",0.6400000000000001,0.5384615384615384
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,0.76,0.8148148148148147
Egypt arrests Muslim Brotherhood Supreme Guide,Egypt bans Muslim Brotherhood group,0.44,0.6060606060606061
A woman is folding paper.,A woman is applying eye shadow.,0.08,0.47619047619047616
People are sitting against a wall,People is standing against a wall,0.74,0.7777777777777778
A woman is skiing down a hill and over a red obstacle,A man is skiing down a hill and over a red obstacle,0.72,0.8666666666666666
Stocks rise in early trading,US stocks ease in choppy trading,0.4,0.6666666666666667
A man is playing a guitar.,A woman is playing the guitar.,0.55,0.7777777777777778
Some Syria violence amounts to civil war-Red Cross,Some Syria violence qualifies as civil war -Red Cross,0.8800000000000001,0.7555555555555553
"Yes, it's probably a good idea to renew your passport.",It's a good idea.,0.6000000000000001,0.5416666666666666
The man is doing exercises in a gym,The man is exercising,0.8800000000000001,0.8
A tiger cub is playing with a ball,A baby tiger is playing with a ball,0.98,0.8333333333333334
A woman is cutting an onion,An onion is being cut by a woman,0.96,1.0
The man is exercising,There is no man doing pull-ups,0.7,0.5333333333333333
There is no girl riding a horse,The girl is trotting on the horse,0.6599999999999999,0.7777777777777778
There is no man holding a sign and seeking money,A bearded man is standing by a shopping cart and is holding a cardboard sign,0.6799999999999999,0.5384615384615384
The person is practicing the guitar,The play for the ladies requires a guitar,0.4599999999999999,0.380952380952381
"It is a national concern that will touch virtually every American,"" Abraham said.","The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday.",0.65,0.5256410256410257
A man is dancing,A man is praying fervently,0.3399999999999999,0.4
Two dogs are running quickly through a park,Two dogs are running through the park,0.9,0.9259259259259259
Some women are talking,The men are having a conversation,0.38,0.41666666666666663
A yellow dog is running on white snow on a very sunny day,A tan dog is running through the snow,0.6,0.6363636363636364
The man is standing on the sidewalk,A man is standing on a sidewalk,1.0,1.0
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,0.3,0.4583333333333333
There are a few things you can do: ,There are a couple things you can try.,1.0,0.5
A smiling boy in summer clothes is standing still outside a building,A young child dressed for cold weather is standing outside,0.58,0.48888888888888893
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,0.68,0.7666666666666667
People at a drag race are running away from the flames that are coming out of the cars,The crowd is watching two racing cars that are leaving the starting line,0.52,0.625
Nobel Prize winning author Doris Lessing dies,Nobel laureate Doris Lessing dies at 94,0.92,0.7435897435897435
The orange colored dices are being cast by a cook to win the pepper,A cook is slicing some bell peppers,0.5,0.484848484848485
A dog is barking at a ball,An animal is barking at a ball,0.8400000000000001,0.7777777777777778
Cheap generics no panacea for India’s poorest,Cheap cancer drugs no cure for India's poorest,0.76,0.5897435897435898
A surfer in a black wetsuit is riding a foamy wave,A surfer in a white wetsuit is riding a foamy wave,0.8400000000000001,0.7222222222222222
A child is playing slip and slide in the grass,A child is splashing in a pool for children and other kids are playing in the background,0.52,0.4444444444444445
It depends entirely on your company and your contract.,It depends on your company.,0.6000000000000001,0.7222222222222222
A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,0.44,0.6666666666666666
A person is not frying,A person is peeling a potato,0.32,0.5333333333333333
two white standard poodles play with a toy in the snow,Two dogs fighting in the snow.,0.44,0.5757575757575757
A little boy is playing a guitar,A boy is playing guitar,0.8800000000000001,0.8571428571428571
A yellow dog is drinking water from the faucet, water from the faucet is being drunk by a yellow dog,0.98,1.0
A boy is jumping off the side of a water fountain made of stone in front of a building,A boy is jumping off the side of a stone water fountain in front of a building,0.92,1.0
A man is dancing,A man is talking,0.54,0.5
A man on a horse is riding on a track and waving,The person on the motorcycle is holding up an arm,0.36,0.22222222222222224
The man with a hard hat is dancing,A man is wearing a hard hat and dancing,1.0,0.888888888888889
There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people,0.82,1.0
A woman is chopping broccoli,The woman is not chopping garlic,0.62,0.6666666666666666
Two men are dancing and singing in front of a crowd,The women are singing and dancing,0.62,0.5185185185185186
A man is reading the email,Someone is reading the email,0.92,0.8333333333333334
Nobody is holding a hedgehog,Someone is holding a hedgehog,0.8400000000000001,0.7777777777777778
The tan dog is watching a brown dog that is swimming in a pond,The tan dog is not watching a brown dog that is swimming in a pond,0.74,0.8571428571428571
Two children in white outfits and red protective gear are sitting on a mat,Two children in white outfits and red protective gear are sparring on a mat,0.8400000000000001,0.9259259259259259
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,1.0,0.6666666666666666
A black dog is jumping off a dock into a pond,A black dog is jumping on a dock into a pond,0.94,1.0
A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,0.5,0.5666666666666667
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,0.52,0.5555555555555556
A man is trekking in the woods,The man is hiking in the woods,0.94,0.6666666666666666
"Problem is, the system doesn't account for people who could care less about money, or title.",The Joker doesn't care about money.,0.2,0.33333333333333326
The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The court's three-judge tribunal was expected to give its verdict next February.,0.8400000000000001,0.6666666666666666
A pizza is being eaten by a man,A man is eating some food,0.8800000000000001,0.6666666666666666
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,0.25,0.5151515151515152
A brown puppy is biting a stick,A brown puppy is gnawing a metallic post that is stuck in the ground,0.58,0.6363636363636364
A black and white dog with a large branch is standing in the field,A black and white dog with a large branch is running in the field,0.8400000000000001,0.9047619047619048
A man is jumping rope outside,A woman is slicing a cucumber,0.2,0.09523809523809522
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.",0.65,0.32142857142857145
A group of people are nervous about crossing the water.,A group of people are on the water.,0.44,0.75
Obama silent on China dissident,Obama to visit Korean DMZ,0.12,0.16666666666666666
